username,department,role,account_status,finding_type,severity,soc2_control,nist_control,finding_detail,access_key_age_days,password_last_rotated_days,last_login_days,mfa_enabled,access_level
Mia.jackson,Product & Project Mgmt,Product Manager,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,194,125,15,True,Limited
Mia.jackson,Product & Project Mgmt,Product Manager,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,194,125,15,True,Limited
Daniel.miller,Product & Project Mgmt,Product Manager,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,50,205,23,True,Support
Ava.wilson,Vendors / Contractors,Third-Party Consultant,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,282,29,24,False,VendorTemporaryAccess
Ava.wilson,Vendors / Contractors,Third-Party Consultant,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,282,29,24,False,VendorTemporaryAccess
Henry.anderson,Vendors / Contractors,Vendor Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,118,83,20,True,PowerUser
Abigail.davis,Vendors / Contractors,Vendor Engineer,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,101,118,26,True,Developer
Abigail.davis,Vendors / Contractors,Vendor Engineer,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,101,118,26,True,Developer
Ella.jackson,Vendors / Contractors,Third-Party Consultant,ACTIVE,MFA_DISABLED,CRITICAL,CC6.1,IA-2(1),Multi-factor authentication is not enabled for console access,84,212,20,False,Support
Ella.jackson,Vendors / Contractors,Third-Party Consultant,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,84,212,20,False,Support
Ava.williams,Vendors / Contractors,Third-Party Consultant,ACTIVE,ACCESS_KEY_TOO_OLD,HIGH,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,165,164,21,True,ReadOnly
Ava.williams,Vendors / Contractors,Third-Party Consultant,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,165,164,21,True,ReadOnly
Sebastian.rodriguez,Vendors / Contractors,External Auditor,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,10,205,8,True,Administrator
Sophia.jackson,Vendors / Contractors,Third-Party Consultant,ACTIVE,ACCESS_KEY_TOO_OLD,CRITICAL,CC6.1,IA-5(1),Access key has not been rotated in over 90 days,226,244,21,True,Limited
Sophia.jackson,Vendors / Contractors,Third-Party Consultant,ACTIVE,PASSWORD_NOT_ROTATED,HIGH,CC6.1,IA-5(1),Password has not been rotated in over 90 days,226,244,21,True,Limited
